LocationGeoid,PeerGeoid1,PeerGeoid2,PeerGeoid3,PeerGeoid4,PeerGeoid5,PeerGeoid6,PeerGeoid7,PeerGeoid8,PeerGeoid9,PeerGeoid10,PeerGeoid11,PeerGeoid12,PeerGeoid13,PeerGeoid14,PeerGeoid15,PeerGeoid16
16000US2941348,16000US0616000,16000US0135896,16000US0662938,16000US0465000,16000US4848804,16000US0681554,16000US0633000,16000US2053775,16000US1150000,16000US0955990,16000US4861796,16000US0606000,16000US0203000,16000US0803455,16000US0680854,16000US0623182
16000US0616000,16000US0135896,16000US0662938,16000US0465000,16000US4848804,16000US0681554,16000US0633000,16000US2053775,16000US1150000,16000US0955990,16000US4861796,16000US0606000,16000US0203000,16000US0803455,16000US0680854,16000US0623182,16000US0616532
16000US0135896,16000US0662938,16000US0465000,16000US4848804,16000US0681554,16000US0633000,16000US2053775,16000US1150000,16000US0955990,16000US4861796,16000US0606000,16000US0203000,16000US0803455,16000US0680854,16000US0623182,16000US0616532,16000US0650258
16000US0662938,16000US0465000,16000US4848804,16000US0681554,16000US0633000,16000US2053775,16000US1150000,16000US0955990,16000US4861796,16000US0606000,16000US0203000,16000US0803455,16000US0680854,16000US0623182,16000US0616532,16000US0650258,16000US0616350
16000US0465000,16000US4848804,16000US0681554,16000US0633000,16000US2053775,16000US1150000,16000US0955990,16000US4861796,16000US0606000,16000US0203000,16000US0803455,16000US0680854,16000US0623182,16000US0616532,16000US0650258,16000US0616350,16000US2627440
16000US4848804,16000US0681554,16000US0633000,16000US2053775,16000US1150000,16000US0955990,16000US4861796,16000US0606000,16000US0203000,16000US0803455,16000US0680854,16000US0623182,16000US0616532,16000US0650258,16000US0616350,16000US2627440,16000US1207300
16000US0681554,16000US0633000,16000US2053775,16000US1150000,16000US0955990,16000US4861796,16000US0606000,16000US0203000,16000US0803455,16000US0680854,16000US0623182,16000US0616532,16000US0650258,16000US0616350,16000US2627440,16000US1207300,16000US1768003
16000US0633000,16000US2053775,16000US1150000,16000US0955990,16000US4861796,16000US0606000,16000US0203000,16000US0803455,16000US0680854,16000US0623182,16000US0616532,16000US0650258,16000US0616350,16000US2627440,16000US1207300,16000US1768003,16000US0656000
16000US2053775,16000US1150000,16000US0955990,16000US4861796,16000US0606000,16000US0203000,16000US0803455,16000US0680854,16000US0623182,16000US0616532,16000US0650258,16000US0616350,16000US2627440,16000US1207300,16000US1768003,16000US0656000,16000US0684200
16000US1150000,16000US0955990,16000US4861796,16000US0606000,16000US0203000,16000US0803455,16000US0680854,16000US0623182,16000US0616532,16000US0650258,16000US0616350,16000US2627440,16000US1207300,16000US1768003,16000US0656000,16000US0684200,16000US0412000
16000US0955990,16000US4861796,16000US0606000,16000US0203000,16000US0803455,16000US0680854,16000US0623182,16000US0616532,16000US0650258,16000US0616350,16000US2627440,16000US1207300,16000US1768003,16000US0656000,16000US0684200,16000US0412000,16000US4863500
16000US4861796,16000US0606000,16000US0203000,16000US0803455,16000US0680854,16000US0623182,16000US0616532,16000US0650258,16000US0616350,16000US2627440,16000US1207300,16000US1768003,16000US0656000,16000US0684200,16000US0412000,16000US4863500,16000US0611530
16000US0606000,16000US0203000,16000US0803455,16000US0680854,16000US0623182,16000US0616532,16000US0650258,16000US0616350,16000US2627440,16000US1207300,16000US1768003,16000US0656000,16000US0684200,16000US0412000,16000US4863500,16000US0611530,16000US4134100
16000US0203000,16000US0803455,16000US0680854,16000US0623182,16000US0616532,16000US0650258,16000US0616350,16000US2627440,16000US1207300,16000US1768003,16000US0656000,16000US0684200,16000US0412000,16000US4863500,16000US0611530,16000US4134100,16000US0613210
16000US0803455,16000US0680854,16000US0623182,16000US0616532,16000US0650258,16000US0616350,16000US2627440,16000US1207300,16000US1768003,16000US0656000,16000US0684200,16000US0412000,16000US4863500,16000US0611530,16000US4134100,16000US0613210,16000US4023200
16000US0680854,16000US0623182,16000US0616532,16000US0650258,16000US0616350,16000US2627440,16000US1207300,16000US1768003,16000US0656000,16000US0684200,16000US0412000,16000US4863500,16000US0611530,16000US4134100,16000US0613210,16000US4023200,16000US3650617
16000US0623182,16000US0616532,16000US0650258,16000US0616350,16000US2627440,16000US1207300,16000US1768003,16000US0656000,16000US0684200,16000US0412000,16000US4863500,16000US0611530,16000US4134100,16000US0613210,16000US4023200,16000US3650617,16000US0613392
16000US0616532,16000US0650258,16000US0616350,16000US2627440,16000US1207300,16000US1768003,16000US0656000,16000US0684200,16000US0412000,16000US4863500,16000US0611530,16000US4134100,16000US0613210,16000US4023200,16000US3650617,16000US0613392,16000US4982950
16000US0650258,16000US0616350,16000US2627440,16000US1207300,16000US1768003,16000US0656000,16000US0684200,16000US0412000,16000US4863500,16000US0611530,16000US4134100,16000US0613210,16000US4023200,16000US3650617,16000US0613392,16000US4982950,16000US1757225
16000US0616350,16000US2627440,16000US1207300,16000US1768003,16000US0656000,16000US0684200,16000US0412000,16000US4863500,16000US0611530,16000US4134100,16000US0613210,16000US4023200,16000US3650617,16000US0613392,16000US4982950,16000US1757225,16000US2649000
16000US2627440,16000US1207300,16000US1768003,16000US0656000,16000US0684200,16000US0412000,16000US4863500,16000US0611530,16000US4134100,16000US0613210,16000US4023200,16000US3650617,16000US0613392,16000US4982950,16000US1757225,16000US2649000,16000US0628000
16000US1207300,16000US1768003,16000US0656000,16000US0684200,16000US0412000,16000US4863500,16000US0611530,16000US4134100,16000US0613210,16000US4023200,16000US3650617,16000US0613392,16000US4982950,16000US1757225,16000US2649000,16000US0628000,16000US0666000
16000US1768003,16000US0656000,16000US0684200,16000US0412000,16000US4863500,16000US0611530,16000US4134100,16000US0613210,16000US4023200,16000US3650617,16000US0613392,16000US4982950,16000US1757225,16000US2649000,16000US0628000,16000US0666000,16000US0877290
16000US0656000,16000US0684200,16000US0412000,16000US4863500,16000US0611530,16000US4134100,16000US0613210,16000US4023200,16000US3650617,16000US0613392,16000US4982950,16000US1757225,16000US2649000,16000US0628000,16000US0666000,16000US0877290,16000US4848072
16000US0684200,16000US0412000,16000US4863500,16000US0611530,16000US4134100,16000US0613210,16000US4023200,16000US3650617,16000US0613392,16000US4982950,16000US1757225,16000US2649000,16000US0628000,16000US0666000,16000US0877290,16000US4848072,16000US0608786
16000US0412000,16000US4863500,16000US0611530,16000US4134100,16000US0613210,16000US4023200,16000US3650617,16000US0613392,16000US4982950,16000US1757225,16000US2649000,16000US0628000,16000US0666000,16000US0877290,16000US4848072,16000US0608786,16000US1724582
16000US4863500,16000US0611530,16000US4134100,16000US0613210,16000US4023200,16000US3650617,16000US0613392,16000US4982950,16000US1757225,16000US2649000,16000US0628000,16000US0666000,16000US0877290,16000US4848072,16000US0608786,16000US1724582,16000US0665042
